firstname;lastname;address;PLZ;city;birthdate;email;gamertag;join_date;hardware;game;playtime;wins;losses;ingamelevel
Sibyl;Robel;Legros Burg 5;3293;Greeley;1996-10-14;jace3@gmail.com;Corene.Becker;2017-07-25;Xbox Series X;World of Warcraft;441;361;214;93
Keon;Deckow;Bruen Lake 45;4918;San Clemente;2002-06-01;margarett_mayert@yahoo.com;Julianne.Nienow;2017-10-22;Playstation 5;World of Tanks;734;376;827;9
King;Reichert;Kelly Grove 69;1876;Kshlerinview;1951-06-13;eladio.toy62@gmail.com;Eleanore_Balistreri;2019-06-22;Playstation 5;Apex Legends;225;925;734;7
Mayra;Hirthe;Mertie Extensions 83;2993;Newport Beach;1994-02-06;cora72@hotmail.com;Baby.DAmore75;2017-12-27;PC;Starcraft II;641;91;164;81
Horace;Schiller;Konopelski Passage 48;5924;Redding;1951-06-16;kaylee.krajcik71@gmail.com;Twila68;2016-06-02;Xbox One;NBA 2K20;339;650;18;84
Natasha;Schneider;Claude Place 44;7483;Port Russelfield;1978-11-19;rick.mcclure31@yahoo.com;Warren29;2016-06-06;Xbox One;Call of Duty: Warzone;935;202;281;93
Alexandra;Schowalter-Fadel;Ona Course 24;7383;El Cajon;1957-09-02;amalia23@gmail.com;Natasha29;2019-05-24;Nintendo Switch;FIFA 20;138;209;369;69
Arvid;Towne;Welch Keys 60;4941;Lowefield;1977-01-10;oswaldo76@gmail.com;Kenyatta69;2013-12-27;Xbox One;World of Warships;678;446;89;49
Ethyl;Mueller;Maggio Cliff 25;9884;Luettgenfort;1954-06-25;cole.pollich78@hotmail.com;Chaz_Wehner39;2020-06-02;PC;World of Tanks;342;25;314;92
Ben;Lockman;Sanford Row 18;8886;Morissetteport;1974-08-16;kellie_welch@yahoo.com;Rylan82;2019-11-24;Nintendo Switch;Minecraft;303;389;835;72
Virgil;Dietrich-Medhurst;McDermott Forks 34;7024;Madgeside;1964-09-29;gene.oreilly@hotmail.com;Brice_Skiles;2014-11-01;Playstation 4;World of Warcraft;540;576;968;91
Hilda;Goodwin;Gracie Vista 53;9134;College Station;1965-12-04;randal26@yahoo.com;Lionel74;2017-06-01;Xbox One;Teamfight Tactics;249;746;304;17
Jewel;Stanton;Wilkinson Creek 14;4874;Melissaburgh;1968-10-14;nicholaus.konopelski@hotmail.com;General48;2023-04-01;Playstation 5;Rocket League;366;176;356;25
Lucile;Stoltenberg;Kay Parkways 73;9059;Langoshmouth;1981-02-01;johanna_dare@yahoo.com;Myrna.Green;2018-07-30;Playstation 5;Grand Theft Auto V;623;63;331;41
Ona;Dach;Bergnaum Shoals 26;2754;Codyshire;1959-02-16;eveline.collier68@yahoo.com;Antoinette.Lang37;2020-06-22;Nintendo Switch;Smite;193;918;739;90
Keaton;Heidenreich-Witting;Cummerata Mall 76;2591;Sunrise;1997-04-25;vinnie_muller26@gmail.com;Kaela_Bernhard;2014-11-03;Playstation 4;Path of Exile;969;818;171;94
Kattie;Ankunding;Layne Mountain 96;1110;Belleville;1949-05-11;bridget_harris@hotmail.com;Kris72;2020-04-17;Playstation 4;NBA 2K20;430;987;373;45
